movie_name,ranking,score,score_num
银河护卫队：假日特辑,358,7.9,71839
失控玩家,359,7.5,720939
学校风云,360,8.1,27278
阿丽塔：战斗天使,361,7.5,617698
和平饭店,362,7.7,70203
犯罪都市,363,7.7,122712
美国狙击手,364,7.7,122076
复仇者联盟2：奥创纪元,365,7.5,517229
赤焰战场,366,7.6,105526
精英部队,367,8.0,55487
硬核亨利,368,7.7,62850
谍影重重5,369,7.5,203115
危机13小时,370,7.8,81605
我的机器人女友,371,7.6,168394
杀破狼2,372,7.5,194404
蝙蝠侠：黑暗骑士归来(上),373,8.5,28725
侏罗纪公园2：失落的世界,374,7.6,160058
龙与地下城：侠盗荣耀,375,7.6,159730
新天龙八部之天山童姥,376,7.6,85676
异形4,377,7.7,102799
绝密跟踪,378,7.7,102411
新上海滩,379,7.7,56887
驱魔警察,380,7.9,34221
特洛伊,381,7.6,148266
木乃伊归来,382,7.6,146869
97古惑仔战无不胜,383,7.6,80830
超级学校霸王,384,7.6,79928
空中营救,385,7.6,143710
王者,386,7.8,74421
悬崖之上,387,7.4,785732
实尾岛,388,8.1,42928
寻龙诀,389,7.4,621991
爱国者,390,8.2,37527
拆弹专家2,391,7.4,576361
导火线,392,7.5,131890
偷天换日,393,7.6,134559
虎胆龙威3,394,7.9,58066
生化危机3：灭绝,395,7.5,227823
灵幻先生,396,7.9,31686
亡命天涯,397,8.1,41486
与神同行2：因与缘,398,7.6,123540
的士速递2,399,7.9,56148
决战犹马镇,400,8.0,47265
天龙特攻队,401,7.7,86886
风语者,402,7.7,86412
危情时速,403,7.8,67206
兽兵卫忍风帖,404,8.7,22691
时空线索,405,7.8,66812
警察故事4：简单任务,406,7.7,47308
叶问2：宗师传奇,407,7.4,266226
陆小凤传奇之陆小凤前传,408,8.0,25634
夺宝奇兵2,409,7.8,65159
壮志凌云,410,7.6,112712
雷神3：诸神黄昏,411,7.4,421589
卡桑德拉大桥,412,8.3,31297
